0 39 2 2 0 0 [ ]
1 6 4 2 12 34 [!]
2 6 18 2 23 9 ["]
2 1 43 2 13 14 [#]
9 0 58 2 17 19 [$]
0 6 77 2 49 33 [%]
0 6 128 2 34 33 [&]
4 6 164 2 11 9 [']
1 4 177 2 16 38 [(]
3 4 195 2 16 38 [)]
4 0 213 2 15 28 [*]
6 16 230 2 11 17 [+]
1 29 2 42 11 16 [,]
1 20 15 42 17 8 [-]
1 29 34 42 12 11 [.]
-1 6 48 42 26 33 [/]
2 6 76 42 32 33 [0]
7 6 110 42 12 33 [1]
1 6 124 42 32 33 [2]
1 6 158 42 32 33 [3]
1 6 192 42 29 33 [4]
1 6 2 77 32 33 [5]
1 6 36 77 32 33 [6]
0 6 70 77 31 33 [7]
2 6 103 77 32 33 [8]
2 6 137 77 32 33 [9]
0 15 171 77 13 25 [:]
0 16 186 77 13 29 [;]
3 11 201 77 11 18 [<]
3 15 214 77 8 16 [=]
3 11 224 77 11 18 [>]
1 6 2 112 32 33 [?]
4 11 36 112 28 25 [@]
0 6 66 112 34 33 [A]
1 6 102 112 31 33 [B]
1 6 135 112 32 33 [C]
1 6 169 112 31 33 [D]
1 6 202 112 31 33 [E]
1 6 2 147 31 33 [F]
0 6 35 147 31 33 [G]
1 6 68 147 31 33 [H]
2 6 101 147 10 33 [I]
1 6 113 147 28 33 [J]
2 6 143 147 33 33 [K]
2 6 178 147 23 33 [L]
2 6 203 147 37 33 [M]
3 6 2 182 31 33 [N]
2 6 35 182 33 33 [O]
1 6 70 182 31 33 [P]
1 6 103 182 38 33 [Q]
1 6 143 182 31 33 [R]
1 6 176 182 32 33 [S]
1 6 210 182 29 33 [T]
2 6 2 217 33 33 [U]
0 6 37 217 34 33 [V]
0 6 73 217 56 33 [W]
-1 6 131 217 32 33 [X]
-1 6 165 217 32 33 [Y]
0 6 199 217 28 33 [Z]
