0 32 2 30 10 0 [ ]
1 5 4 3 8 27 [!]
1 5 14 3 12 9 ["]
1 11 28 9 21 21 [#]
1 4 51 2 19 29 [$]
1 13 72 11 20 14 [%]
1 5 94 3 25 27 [&]
1 11 121 9 7 9 [']
1 4 130 2 8 34 [(]
1 4 140 2 9 34 [)]
-1 14 151 12 14 15 [*]
1 13 167 11 13 12 [+]
1 26 182 24 7 9 [,]
1 17 191 15 11 3 [-]
1 26 204 24 7 6 [.]
1 5 213 3 16 27 [/]
1 5 231 3 21 27 [0]
1 5 2 38 9 27 [1]
1 5 13 38 21 27 [2]
1 5 36 38 18 27 [3]
1 5 56 38 20 27 [4]
1 5 78 38 21 27 [5]
1 5 101 38 21 27 [6]
1 5 124 38 21 27 [7]
1 5 147 38 21 27 [8]
1 5 170 38 21 27 [9]
1 16 193 49 7 16 [:]
1 16 202 49 7 19 [;]
1 8 211 41 13 20 [<]
1 14 226 47 11 9 [=]
1 8 239 41 13 20 [>]
1 5 2 70 19 27 [?]
1 5 23 70 23 27 [@]
1 5 48 70 22 27 [A]
1 5 72 70 21 27 [B]
1 5 95 70 18 27 [C]
1 5 115 70 21 27 [D]
1 5 138 70 17 27 [E]
1 5 157 70 17 27 [F]
1 5 176 70 21 27 [G]
1 5 199 70 21 27 [H]
1 5 222 70 7 27 [I]
1 5 231 70 15 27 [J]
1 5 2 99 22 27 [K]
1 5 26 99 17 27 [L]
1 5 45 99 26 27 [M]
1 5 73 99 22 27 [N]
1 5 97 99 21 27 [O]
1 5 120 99 21 27 [P]
1 5 143 99 22 32 [Q]
1 5 167 99 21 27 [R]
1 5 190 99 21 27 [S]
1 5 213 99 17 27 [T]
1 5 232 99 21 27 [U]
0 5 2 138 22 27 [V]
0 5 26 138 34 27 [W]
1 5 62 138 23 27 [X]
0 5 87 138 22 27 [Y]
1 5 111 138 21 27 [Z]
1 0 134 133 9 37 [[]
1 5 145 138 16 27 [\]
1 0 163 133 9 37 []]
0 32 174 165 0 0 [^]
1 32 176 165 21 4 [_]
7 0 199 133 8 5 [`]
1 11 209 144 20 21 [a]
1 5 231 138 20 27 [b]
1 11 2 178 16 21 [c]
1 5 20 172 20 27 [d]
1 11 42 178 20 21 [e]
1 5 64 172 12 27 [f]
1 11 78 178 20 29 [g]
1 5 100 172 20 27 [h]
1 5 122 172 7 27 [i]
1 5 131 172 10 35 [j]
1 5 143 172 18 27 [k]
1 5 163 172 7 27 [l]
1 11 172 178 29 21 [m]
1 11 203 178 20 21 [n]
1 11 225 178 20 21 [o]
1 11 2 215 20 27 [p]
1 11 24 215 20 27 [q]
1 11 46 215 12 21 [r]
1 11 60 215 20 21 [s]
1 5 82 209 9 27 [t]
1 11 93 215 20 21 [u]
0 11 115 215 22 21 [v]
0 11 139 215 35 21 [w]
1 11 176 215 23 21 [x]
0 11 201 215 22 29 [y]
1 11 225 215 21 21 [z]
0 32 248 236 0 0 [{]
