0 26 2 2 10 0 [ ]
3 2 4 2 6 24 [!]
2 2 12 2 15 8 ["]
0 1 29 2 21 25 [#]
1 0 52 2 20 29 [$]
2 1 74 2 32 26 [%]
2 2 108 2 25 25 [&]
2 2 135 2 6 8 [']
2 1 143 2 10 32 [(]
1 1 155 2 11 32 [)]
1 1 168 2 14 12 [*]
2 6 184 2 20 16 [+]
2 22 206 2 6 10 [,]
2 16 214 2 11 4 [-]
3 22 227 2 6 4 [.]
0 1 235 2 11 25 [/]
2 2 2 36 19 24 [0]
3 2 23 36 13 24 [1]
1 2 38 36 19 24 [2]
1 2 59 36 19 24 [3]
1 2 80 36 20 24 [4]
2 2 102 36 19 24 [5]
2 2 123 36 19 24 [6]
2 2 144 36 19 24 [7]
1 2 165 36 19 24 [8]
1 2 186 36 19 24 [9]
4 8 207 36 6 18 [:]
3 8 215 36 6 24 [;]
2 4 223 36 20 20 [<]
2 8 2 62 20 11 [=]
2 4 24 62 20 20 [>]
2 2 46 62 20 24 [?]
1 2 68 62 37 31 [@]
0 2 107 62 28 24 [A]
3 2 137 62 24 24 [B]
2 2 163 62 24 24 [C]
3 2 189 62 24 24 [D]
3 2 215 62 21 24 [E]
3 2 2 95 19 24 [F]
2 2 23 95 26 24 [G]
3 2 51 95 23 24 [H]
3 2 76 95 6 24 [I]
1 2 84 95 18 24 [J]
3 2 104 95 25 24 [K]
3 2 131 95 20 24 [L]
3 2 153 95 28 24 [M]
3 2 183 95 23 24 [N]
2 2 208 95 27 24 [O]
3 2 2 121 22 24 [P]
2 2 26 121 28 27 [Q]
3 2 56 121 25 24 [R]
1 2 83 121 24 24 [S]
1 2 109 121 23 24 [T]
3 2 134 121 23 24 [U]
0 2 159 121 26 24 [V]
0 2 187 121 37 24 [W]
0 2 226 121 26 24 [X]
0 2 2 150 26 24 [Y]
0 2 30 150 23 24 [Z]
3 2 55 150 10 31 [[]
0 1 67 150 11 25 [\]
1 2 80 150 10 31 []]
2 2 92 150 18 13 [^]
0 30 112 150 23 3 [_]
1 2 137 150 9 4 [`]
1 8 148 150 19 18 [a]
3 2 169 150 20 24 [b]
2 8 191 150 19 18 [c]
2 2 212 150 21 24 [d]
1 8 2 183 20 18 [e]
0 2 24 183 14 24 [f]
1 8 40 183 21 25 [g]
3 2 63 183 19 24 [h]
3 2 84 183 6 24 [i]
-2 2 92 183 10 31 [j]
3 2 104 183 19 24 [k]
3 2 125 183 6 24 [l]
2 8 133 183 30 18 [m]
3 8 165 183 19 18 [n]
2 8 186 183 21 18 [o]
3 8 209 183 20 25 [p]
2 8 231 183 20 25 [q]
3 8 2 216 13 18 [r]
1 8 17 216 20 18 [s]
1 1 39 216 11 25 [t]
3 8 52 216 19 18 [u]
0 8 73 216 21 18 [v]
0 8 96 216 30 18 [w]
0 8 128 216 21 18 [x]
0 8 151 216 21 25 [y]
0 8 174 216 19 18 [z]
1 2 195 216 14 31 [{]
3 1 211 216 5 32 [|]
1 2 218 216 14 31 [}]
