0 24 2 26 10 0 [ ]
0 3 4 5 10 21 [!]
1 3 16 5 19 5 ["]
2 1 37 3 9 8 [#]
7 0 48 2 13 11 [$]
0 3 63 5 39 21 [%]
0 3 104 5 27 21 [&]
3 3 133 5 9 5 [']
1 2 144 4 12 24 [(]
2 2 158 4 12 24 [)]
3 0 172 2 12 17 [*]
5 9 186 11 9 11 [+]
1 19 197 21 9 9 [,]
1 12 208 14 13 5 [-]
1 19 223 21 9 6 [.]
-1 3 2 32 21 21 [/]
1 3 25 32 26 21 [0]
6 3 53 32 10 21 [1]
1 3 65 32 25 21 [2]
1 3 92 32 25 21 [3]
1 3 119 32 23 21 [4]
1 3 144 32 25 21 [5]
1 3 171 32 25 21 [6]
0 3 198 32 25 21 [7]
1 3 225 32 25 21 [8]
1 3 2 55 25 21 [9]
0 10 29 62 11 15 [:]
0 10 42 62 10 18 [;]
2 6 54 58 9 12 [<]
2 9 65 61 7 10 [=]
2 6 74 58 9 12 [>]
0 3 85 55 26 21 [?]
3 6 113 58 23 16 [@]
0 3 138 55 27 21 [A]
1 3 167 55 25 21 [B]
1 3 194 55 25 21 [C]
1 3 221 55 25 21 [D]
1 3 2 82 25 21 [E]
1 3 29 82 25 21 [F]
0 3 56 82 25 21 [G]
1 3 83 82 25 21 [H]
1 3 110 82 8 21 [I]
1 3 120 82 22 21 [J]
1 3 144 82 27 21 [K]
1 3 173 82 19 21 [L]
1 3 194 82 30 21 [M]
3 3 226 82 25 21 [N]
1 3 2 105 27 21 [O]
1 3 31 105 25 21 [P]
1 3 58 105 31 21 [Q]
1 3 91 105 25 21 [R]
1 3 118 105 25 21 [S]
1 3 145 105 23 21 [T]
1 3 170 105 27 21 [U]
0 3 199 105 27 21 [V]
0 3 2 129 45 21 [W]
0 3 49 129 26 21 [X]
-1 3 77 129 26 21 [Y]
0 3 105 129 23 21 [Z]
1 2 130 128 12 24 [[]
0 3 144 129 21 21 [\]
2 2 167 128 12 24 []]
-1 3 181 129 16 5 [^]
2 28 199 154 31 5 [_]
0 3 232 129 14 7 [`]
1 8 2 166 25 16 [a]
1 3 29 161 25 21 [b]
1 8 56 166 21 16 [c]
1 3 79 161 25 21 [d]
1 8 106 166 26 16 [e]
1 3 134 161 14 21 [f]
1 8 150 166 25 23 [g]
1 3 177 161 25 21 [h]
2 3 204 161 8 21 [i]
2 3 214 161 12 28 [j]
1 3 2 191 27 21 [k]
1 3 31 191 8 21 [l]
1 8 41 196 43 16 [m]
1 8 86 196 25 16 [n]
1 8 113 196 25 16 [o]
1 8 140 196 25 20 [p]
1 8 167 196 25 20 [q]
1 8 194 196 18 16 [r]
1 8 214 196 26 16 [s]
1 3 2 223 14 21 [t]
1 8 18 228 25 16 [u]
0 8 45 228 27 16 [v]
0 8 74 228 44 16 [w]
-1 8 120 228 28 16 [x]
1 8 150 228 25 23 [y]
0 8 177 228 23 16 [z]
-4 2 202 222 12 24 [{]
1 0 216 220 8 30 [|]
2 2 226 222 12 24 [}]
